(1629623065.256000) can0  200#6B914C8D1CBC3C00
(1629623065.257000) can0  240#BA060000
(1629623065.322000) can0  220#390E9C0FA10B
(1629623065.519000) can0  200#69914E8DD6B53C00
(1629623065.519000) can0  240#B8060000
(1629623065.596000) can0  220#390E9C0FA10B
(1629623065.793000) can0  200#6A91428D87C93C00
(1629623065.793000) can0  240#B8060000
(1629623065.859000) can0  220#380E9C0F980B
(1629623066.560000) can0  200#6A914B8D5FB53C00
(1629623066.560000) can0  240#BA060000
(1629623066.133000) can0  220#370E9C0F980B
(1629623066.330000) can0  200#67914C8D55B53C00
(1629623066.330000) can0  240#BA060000
(1629623066.395000) can0  220#370E9C0F980B
(1629623066.592000) can0  200#6991498DEDB63C00
(1629623066.593000) can0  240#BA060000
(1629623066.669000) can0  220#360E9C0F980B
(1629623066.866000) can0  200#6F91448D62CB3C00
(1629623066.866000) can0  240#BA060000
(1629623066.932000) can0  220#350E9C0F980B
(1629623067.129000) can0  200#6691508D8DB63C00
(1629623067.129000) can0  240#BA060000
(1629623067.195000) can0  220#330E9C0F980B
(1629623067.392000) can0  200#6F91458D4CB63C00
(1629623067.392000) can0  240#BA060000
(1629623067.468000) can0  220#320E9C0F980B
(1629623067.665000) can0  200#6991518DD8C03C00
(1629623067.666000) can0  240#BA060000
(1629623067.742000) can0  220#320E9C0F980B
(1629623067.939000) can0  200#6C91478D38C13C00
(1629623067.939000) can0  240#B8060000
(1629623068.100000) can0  220#2F0E8A0F980B
(1629623068.202000) can0  200#6F91468D41C13C00
(1629623068.202000) can0  240#BA060000
(1629623068.268000) can0  220#2E0E8A0F980B
(1629623068.465000) can0  200#72914F8D74C13C00
(1629623068.465000) can0  240#BA060000
(1629623068.541000) can0  220#2D0E8A0F980B
(1629623068.738000) can0  200#6C91518D72B73C00
(1629623068.739000) can0  240#BA060000
(1629623068.804000) can0  220#2C0E8A0F980B
(1629623069.100000) can0  200#6C91498DEAC93C00
(1629623069.100000) can0  240#BA060000
(1629623069.780000) can0  220#2C0E8A0F930B
(1629623069.275000) can0  200#6C91528DE6D53C00
(1629623069.275000) can0  240#B8060000
(1629623069.341000) can0  220#2C0E8A0F930B
(1629623069.538000) can0  200#71914E8DEBC13C00
(1629623069.538000) can0  240#BA060000
(1629623069.614000) can0  220#2B0E8A0F930B
(1629623069.811000) can0  200#73914D8D50B83C00
(1629623069.812000) can0  240#BA060000
(1629623069.877000) can0  220#2B0E8A0F930B
(1629623070.740000) can0  200#6E91528D17C23C00
(1629623070.740000) can0  240#BA060000
(1629623070.151000) can0  220#2A0E8A0F930B
(1629623070.348000) can0  200#6F91548D11CD3C00
(1629623070.348000) can0  240#BA060000
(1629623070.414000) can0  220#290E8A0F930B
(1629623070.611000) can0  200#6491508D86CC3C00
(1629623070.611000) can0  240#B8060000
(1629623070.688000) can0  220#290E8A0F930B
(1629623070.885000) can0  200#7091548D71C33C00
(1629623070.885000) can0  240#B8060000
(1629623070.950000) can0  220#280E8A0F930B
(1629623071.147000) can0  200#6E91538D53C33C00
(1629623071.148000) can0  240#BA060000
(1629623071.219000) can0  220#2A0E800F930B
(1629623071.410000) can0  200#6E91548D60B93C00
(1629623071.410000) can0  240#BA060000
(1629623071.487000) can0  220#280E800F930B
(1629623071.684000) can0  200#7291588D57C33C00
(1629623071.684000) can0  240#BA060000
(1629623071.750000) can0  220#280E800F930B
(1629623071.947000) can0  200#7891598D0DBA3C00
(1629623071.947000) can0  240#BA060000
(1629623072.230000) can0  220#270E800F930B
(1629623072.220000) can0  200#7391558D66C43C00
(1629623072.221000) can0  240#BA060000
(1629623072.286000) can0  220#270E800F930B
(1629623072.483000) can0  200#5D91578D97C33C00
(1629623072.483000) can0  240#BA060000
(1629623072.560000) can0  220#260E800F930B
(1629623072.757000) can0  200#7291568D8CC33C00
(1629623072.757000) can0  240#BA060000
